date,serial_number,model,capacity_bytes,failure,smart_1_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_12_raw,smart_187_raw,smart_188_raw,smart_190_raw,smart_191_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_195_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
2023-01-10,ZA12JTGK,ST8000DM002,8001563222016,0,152009448.0,9.0,0.0,3613303989.0,56444.0,9.0,0.0,0.0,28.0,24891.0,6.0,25232.0,28.0,152009448.0,0.0,0.0,0.0,56383.0,102179443776.0,482891378936.0
2023-01-10,ZA12JTGL,ST8000DM002,8001563222016,0,158462552.0,9.0,0.0,3700043698.0,56442.0,9.0,0.0,0.0,31.0,26434.0,8.0,26343.0,31.0,158462552.0,0.0,0.0,0.0,56378.0,104373352800.0,434481308536.0
2023-01-10,ZA12JTGM,ST8000DM002,8001563222016,0,179758536.0,7.0,0.0,2733758652.0,55029.0,7.0,0.0,0.0,40.0,28591.0,3.0,65251.0,40.0,179758536.0,0.0,0.0,0.0,54963.0,101349060424.0,429877254864.0
2023-01-10,ZA12JTGP,ST8000DM002,8001563222016,0,104351872.0,10.0,0.0,3906142893.0,56487.0,10.0,0.0,0.0,36.0,10639.0,7.0,23244.0,36.0,104351872.0,0.0,0.0,0.0,56423.0,99829785032.0,516484894294.0
2023-01-10,ZA12JTGQ,ST8000DM002,8001563222016,0,66946168.0,7.0,24.0,2126840761.0,55033.0,7.0,0.0,0.0,41.0,128786.0,4.0,65570.0,41.0,66946168.0,0.0,0.0,0.0,54966.0,102957886016.0,401518551696.0
2023-01-10,ZA12JTGR,ST8000DM002,8001563222016,0,72862544.0,22.0,0.0,2874929983.0,56711.0,22.0,0.0,0.0,36.0,11784.0,12.0,52152.0,36.0,72862544.0,0.0,0.0,0.0,56642.0,104863364200.0,450031020622.0
2023-01-10,ZA12JTGS,ST8000DM002,8001563222016,0,206708984.0,9.0,0.0,2647693223.0,55037.0,9.0,0.0,0.0,35.0,23711.0,5.0,71638.0,35.0,206708984.0,0.0,0.0,0.0,54985.0,102306426168.0,416543214476.0
2023-01-10,ZA12JTGT,ST8000DM002,8001563222016,0,175593976.0,6.0,0.0,15548285.0,56493.0,5.0,0.0,0.0,24.0,19206.0,5.0,22537.0,24.0,175593976.0,0.0,0.0,0.0,56427.0,99904267600.0,507198621968.0
2023-01-10,ZA12JTGV,ST8000DM002,8001563222016,0,15201888.0,18.0,0.0,2909824867.0,56708.0,18.0,0.0,0.0,43.0,21849.0,5.0,64768.0,43.0,15201888.0,0.0,0.0,0.0,56640.0,105215459320.0,434462190418.0
2023-01-10,ZA12JTGX,ST8000DM002,8001563222016,0,23297816.0,24.0,416.0,3566606081.0,56701.0,24.0,3.0,0.0,38.0,9901.0,7.0,64367.0,38.0,23297816.0,8.0,8.0,0.0,56572.0,104839141144.0,473820616336.0
2023-01-10,ZA12JTGY,ST8000DM002,8001563222016,0,116748600.0,9.0,0.0,2930527634.0,55035.0,9.0,0.0,0.0,31.0,42079.0,5.0,66687.0,31.0,116748600.0,0.0,0.0,0.0,54986.0,104260372008.0,384311195924.0
2023-01-10,ZA12JTH0,ST8000DM002,8001563222016,0,220702688.0,26.0,0.0,2545276145.0,56715.0,26.0,0.0,0.0,43.0,70059.0,13.0,54939.0,43.0,220702688.0,0.0,0.0,0.0,56642.0,105356278656.0,448861762460.0
2023-01-10,ZA12JTH3,ST8000DM002,8001563222016,0,23827144.0,26.0,8.0,3162565349.0,56701.0,26.0,0.0,0.0,38.0,110648.0,13.0,67473.0,38.0,23827144.0,0.0,0.0,0.0,56621.0,105224018296.0,436073642804.0
2023-01-10,ZA12JTH4,ST8000DM002,8001563222016,0,178146376.0,24.0,8.0,4010194292.0,56713.0,23.0,0.0,0.0,28.0,21361.0,10.0,69189.0,28.0,178146376.0,0.0,0.0,0.0,56645.0,105853476416.0,424534892104.0
2023-01-10,ZA12JTH5,ST8000DM002,8001563222016,0,60167200.0,8.0,0.0,3499059986.0,56497.0,8.0,0.0,0.0,22.0,12052.0,4.0,27832.0,22.0,60167200.0,0.0,0.0,0.0,56434.0,102723416992.0,491760883728.0
2023-01-10,ZA12JTH6,ST8000DM002,8001563222016,0,202275256.0,8.0,0.0,3387666430.0,56488.0,8.0,0.0,0.0,33.0,13542.0,3.0,26041.0,33.0,202275256.0,0.0,0.0,0.0,56426.0,100821297768.0,490159544850.0
