date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized,smart_187_normalized,smart_190_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized
2023-01-05,ZJV37VJX,ST12000NM0007,12000138625024,0,81.0,89.0,100.0,87.0,68.0,100.0,63.0,100.0,37.0,81.0
2023-01-06,ZJV37VJX,ST12000NM0007,12000138625024,0,78.0,89.0,100.0,87.0,68.0,100.0,63.0,100.0,37.0,78.0
2023-01-07,ZJV37VJX,ST12000NM0007,12000138625024,0,83.0,89.0,100.0,87.0,67.0,100.0,64.0,100.0,36.0,83.0
2023-01-08,ZJV37VJX,ST12000NM0007,12000138625024,0,83.0,89.0,100.0,87.0,67.0,100.0,62.0,100.0,38.0,83.0
2023-01-09,ZJV37VJX,ST12000NM0007,12000138625024,0,83.0,89.0,100.0,87.0,67.0,100.0,62.0,100.0,38.0,83.0
2023-01-10,ZJV37VJX,ST12000NM0007,12000138625024,0,75.0,89.0,100.0,87.0,67.0,100.0,62.0,100.0,38.0,75.0
2023-01-01,ZJV37Y5J,ST12000NM0007,12000138625024,0,83.0,89.0,100.0,82.0,68.0,100.0,72.0,100.0,28.0,83.0
2023-01-02,ZJV37Y5J,ST12000NM0007,12000138625024,0,80.0,89.0,100.0,82.0,68.0,100.0,72.0,100.0,28.0,80.0
2023-01-03,ZJV37Y5J,ST12000NM0007,12000138625024,0,84.0,89.0,100.0,82.0,68.0,100.0,71.0,100.0,29.0,84.0
2023-01-04,ZJV37Y5J,ST12000NM0007,12000138625024,0,82.0,89.0,100.0,82.0,68.0,100.0,72.0,100.0,28.0,82.0
2023-01-05,ZJV37Y5J,ST12000NM0007,12000138625024,0,81.0,89.0,100.0,82.0,68.0,100.0,72.0,100.0,28.0,81.0
2023-01-06,ZJV37Y5J,ST12000NM0007,12000138625024,0,84.0,89.0,100.0,82.0,68.0,100.0,72.0,100.0,28.0,84.0
