date,serial_number,model,capacity_bytes,failure,smart_1_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_12_raw,smart_187_raw,smart_188_raw,smart_190_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_195_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
2023-01-10,ZJV2E4JJ,ST12000NM0007,12000138625024,0,25239376.0,1.0,136.0,212692467.0,12174.0,1.0,1.0,0.0,19.0,207.0,519.0,19.0,25239376.0,0.0,0.0,0.0,12075.0,57339637160.0,161192608111.0
2023-01-10,ZJV2E4LF,ST12000NM0007,12000138625024,0,235931088.0,50.0,0.0,89235962.0,21021.0,50.0,0.0,0.0,23.0,438.0,1232.0,23.0,235931088.0,0.0,0.0,0.0,20853.0,60431119440.0,230332997718.0
2023-01-10,ZJV2E5HS,ST12000NM0007,12000138625024,0,16594072.0,3.0,0.0,346921703.0,13586.0,3.0,0.0,0.0,34.0,222.0,582.0,34.0,16594072.0,0.0,0.0,0.0,13519.0,46675733344.0,181857311388.0
2023-01-10,ZJV2E5J5,ST12000NM0007,12000138625024,0,97996168.0,5.0,0.0,258122339.0,12250.0,5.0,0.0,0.0,28.0,193.0,2483.0,28.0,97996168.0,0.0,0.0,0.0,11195.0,42876457872.0,274849482435.0
2023-01-10,ZJV2E5JX,ST12000NM0007,12000138625024,0,18332840.0,3.0,0.0,246825433.0,11038.0,3.0,0.0,0.0,35.0,191.0,502.0,35.0,18332840.0,0.0,0.0,0.0,10977.0,40134943248.0,161056130200.0
2023-01-10,ZJV2E5PC,ST12000NM0007,12000138625024,0,193221688.0,4.0,0.0,39498160.0,11808.0,4.0,0.0,0.0,33.0,234.0,535.0,33.0,193221688.0,0.0,0.0,0.0,11745.0,42173020776.0,135510924890.0
2023-01-10,ZJV2E6W4,ST12000NM0007,12000138625024,0,80272720.0,6.0,0.0,120650858.0,10789.0,6.0,0.0,0.0,21.0,146.0,2430.0,21.0,80272720.0,0.0,0.0,0.0,9733.0,40111004872.0,263436894821.0
2023-01-10,ZJV2E753,ST12000NM0007,12000138625024,0,241752200.0,3.0,0.0,648289353.0,24412.0,3.0,0.0,0.0,27.0,257.0,1032.0,27.0,241752200.0,0.0,0.0,0.0,24298.0,87372806520.0,429471430436.0
2023-01-10,ZJV2E78V,ST12000NM0007,12000138625024,0,8546112.0,11.0,0.0,274575386.0,21173.0,11.0,0.0,0.0,29.0,398.0,1000.0,29.0,8546112.0,0.0,0.0,0.0,21045.0,61043819368.0,317139322874.0
2023-01-10,ZJV2E7HG,ST12000NM0007,12000138625024,0,20706984.0,9.0,0.0,61597445.0,11509.0,9.0,0.0,0.0,32.0,202.0,2456.0,32.0,20706984.0,0.0,0.0,0.0,10454.0,40320102936.0,224838226347.0
2023-01-10,ZJV2E7S3,ST12000NM0007,12000138625024,0,42956760.0,3.0,0.0,596059709.0,22944.0,3.0,0.0,0.0,25.0,345.0,981.0,25.0,42956760.0,0.0,0.0,0.0,22809.0,71733705704.0,263759796844.0
2023-01-10,ZJV2E7TM,ST12000NM0007,12000138625024,0,96317056.0,11.0,0.0,778602437.0,27482.0,10.0,0.0,0.0,19.0,348.0,1182.0,19.0,96317056.0,0.0,0.0,0.0,27308.0,118491738040.0,350114038404.0
2023-01-10,ZJV2E7VG,ST12000NM0007,12000138625024,0,236130784.0,13.0,0.0,793746666.0,28136.0,13.0,0.0,0.0,23.0,372.0,1610.0,23.0,236130784.0,0.0,0.0,0.0,27865.0,121065729592.0,387985182994.0
